Citation,Reference
18,"Archer CR, Duffy E, Hosken DJ, Mokkonen M, Okada K, Oku K, et al. Sex-specific effects of natural and sexual selection on the evolution of life span and ageing in Drosophila simulans. Functional Ecology. 2015;29(4):562-9."
19,"Wigby S, Chapman T. Female resistance to male harm evolves in response to manipulation of sexual conflict. Evolution. 2004;58(5):1028-37."
20,"Martin OY, Hosken DJ. Costs and benefits of evolving under experimentally enforced polyandry or monogamy. Evolution. 2003;57(12):2765-72."
21,Firman RC. Female social preference for males that have evolved via monogamy: evidence of a trade-off between pre- and post-copulatory sexually selected traits? Biology Letters. 2014;10(10).
22,"Nelson AC, Colson KE, Harmon S, Potts WK. Rapid adaptation to mammalian sociality via sexually selected traits. Bmc Evolutionary Biology. 2013;13."
23,"Pelabon C, Larsen LK, Bolstad GH, Viken A, Fleming IA, Rosenqvist G. The effects of sexual selection on life-history traits: An experimental study on guppies. Journal of Evolutionary Biology. 2014;27(2):404-16."
24,"Debelle A, Ritchie MG, Snook RR. Sexual selection and assortative mating: an experimental test. Journal of Evolutionary Biology. 2016;29(7):1307-16."
25,"Hollis B, Kawecki TJ. Male cognitive performance declines in the absence of sexual selection. Proceedings of the Royal Society B-Biological Sciences. 2014;281(1781)."
26,"McGuigan K, Petfield D, Blows MW. Reducing mutation load through sexual selection on males. Evolution. 2011;65(10):2816-29."
27,"Crudgington HS, Fellows S, Badcock NS, Snook RR. Experimental Manipulation of Sexual Selection Promotes Greater Male Mating Capacity but Does Not Alter Sperm Investment. Evolution. 2009;63(4):926-38."
28,"Firman RC, Simmons LW. Experimental Evolution of Sperm Quality Via Postcopulatory Sexual Selection in House Mice. Evolution. 2010;64(5):1245-56."
29,"Fritzsche K, Timmermeyer N, Wolter M, Michiels NK. Female, but not male, nematodes evolve under experimental sexual coevolution. Proceedings of the Royal Society B-Biological Sciences. 2014;281(1796)."
30,"Gay L, Hosken DJ, Vasudev R, Tregenza T, Eady PE. Sperm competition and maternal effects differentially influence testis and sperm size in Callosobruchus maculatus. Journal of Evolutionary Biology. 2009;22(5):1143-50."
31,"McNamara KB, Robinson SP, Rosa ME, Sloan NS, van Lieshout E, Simmons LW. Male-biased sex ratio does not promote increased sperm competitiveness in the seed beetle, Callosobruchus maculatus. Scientific Reports. 2016;6."
32,"Jarzebowska M, Radwan J. Sexual Selection Counteracts Extinction of Small Populations of the Bulb Mites. Evolution. 2010;64(5):1283-9."
33,"Plesnar-Bielak A, Skrzynecka AM, Prokop ZM, Radwan J. Mating system affects population performance and extinction risk under environmental challenge. Proceedings of the Royal Society B-Biological Sciences. 2012;279(1747):4661-7."
34,"Lumley AJ, Michalczyk L, Kitson JJN, Spurgin LG, Morrison CA, Godwin JL, et al. Sexual selection protects against extinction. Nature. 2015;522(7557):470-+."
35,"Plesnar A, Konior M, Radwan J. The role of sexual selection in purging the genome of induced mutations in the bulb mite (Rizoglyphus robini). Evolutionary Ecology Research. 2011;13(2):209-16."
36,Firman RC. Polyandrous females benefit by producing sons that achieve high reproductive success in a competitive environment. Proceedings of the Royal Society B-Biological Sciences. 2011;278(1719):2823-31.
37,"Bernasconi G, Keller L. Female polyandry affects their sons' reproductive success in the red flour beetle Tribolium castaneum. Journal of Evolutionary Biology. 2001;14(1):186-93."
